139;Picture;Rest;6252068;0;1
140;Sound;D2_2Int;6292430;0;1
141;Sound;D3_1Int;6332125;0;1
142;Sound;D5_3Int;6371918;0;1
143;Sound;D4_0Int;6411629;0;1
144;Picture;Rest;6450896;0;1
145;Sound;D1_1Int;6491117;0;1
146;Sound;D2_3Int;6530924;0;1
147;Picture;Rest;6570159;0;2
148;Sound;D5_1Int;6610410;0;1
149;Sound;D1_1Int;6650220;0;1
150;Sound;D4_0Int;6689917;0;1
151;Sound;D2_1Int;6729724;0;1
152;Sound;D4_2Int;6769516;0;1
153;Picture;Rest;6808686;0;1
153;Pulse;44;7007371;198685;1
